Region,Kommune,Antal unge,Indbygger tal,% unge,% Total YPop,1000,ADRESSERINGSNAVN_1,SUM of Saga medlemmer,SAGA MEDLEMMER PER 1000 UNGE
Syddanmark,Aabenraa,"11,275","58,526",19%,0.84%,8,Aabenraa Kommune,4,0.5
Nordjylland,Aalborg,"65,121","219,487",30%,4.88%,49,Aalborg Kommune,0,0.0
Midtjylland,Aarhus,"119,269","352,751",34%,8.93%,89,Aarhus Kommune,0,0
Syddanmark,Ærø,798,"5,960",13%,0.06%,1,Ærø Kommune,0,0
Hovedstaden,Albertslund,"6,700","27,366",24%,0.50%,5,Albertslund Kommune,0,0
Hovedstaden,Allerød,"4,493","25,893",17%,0.34%,3,Allerød Kommune,0,0
Syddanmark,Assens,"7,409","40,867",18%,0.55%,6,Assens Kommune,2,0.25
Hovedstaden,Ballerup,"10,250","49,310",21%,0.77%,8,Ballerup Kommune,16,2
Syddanmark,Billund,"5,140","26,551",19%,0.38%,4,Billund Kommune,0,0
Hovedstaden,Bornholm,"6,146","39,570",16%,0.46%,5,Bornholm Kommune,4,0.5
Hovedstaden,Brøndby,"7,339","35,232",21%,0.55%,5,Brøndby Kommune,3,0.375
Nordjylland,Brønderslev,"6,841","36,177",19%,0.51%,5,Brønderslev Kommune,0,0
Hovedstaden,Christiansø*,11,90,12%,0.00%,0,Christiansø,0,0
Hovedstaden,Dragør,"2,111","14,569",14%,0.16%,2,Dragør Kommune,0,0
Hovedstaden,Egedal,"8,165","43,696",19%,0.61%,6,Egedal Kommune,5,0.625
Syddanmark,Esbjerg,"25,681","115,579",22%,1.92%,19,Esbjerg Kommune,1,0.125
Syddanmark,Faaborg-Midtfyn,"9,292","51,683",18%,0.70%,7,Faaborg-Midtfyn Kommune,4,0.5
Syddanmark,Fanø,429,"3,456",12%,0.03%,0,Fanø Kommune,0,0
Midtjylland,Favrskov,"9,160","48,381",19%,0.69%,7,Favrskov Kommune,0,0
Sjælland,Faxe,"6,910","36,713",19%,0.52%,5,Faxe Kommune,7,0.875
Hovedstaden,Fredensborg,"7,162","40,998",17%,0.54%,5,Fredensborg Kommune,6,0.75
Syddanmark,Fredericia,"10,501","51,275",20%,0.79%,8,Fredericia Kommune,0,0
Hovedstaden,Frederiksberg,"27,907","103,677",27%,2.09%,21,Frederiksberg Kommune,96,12
Nordjylland,Frederikshavn,"10,073","59,039",17%,0.75%,8,Frederikshavn Kommune,0,0
Hovedstaden,Frederikssund,"8,299","45,439",18%,0.62%,6,Frederikssund Kommune,2,0.25
Hovedstaden,Furesø,"6,966","41,001",17%,0.52%,5,Furesø Kommune,2,0.25
Hovedstaden,Gentofte,"14,618","74,550",20%,1.09%,11,Gentofte Kommune,3,0.375
Hovedstaden,Gladsaxe,"15,508","69,200",22%,1.16%,12,Gladsaxe Kommune,3,0.375
Hovedstaden,Glostrup,"5,147","23,380",22%,0.39%,4,Glostrup Kommune,0,0
Sjælland,Greve,"9,302","50,514",18%,0.70%,7,Greve Kommune,11,1.375
Hovedstaden,Gribskov,"6,822","40,971",17%,0.51%,5,Gribskov Kommune,1,0.125
Sjælland,Guldborgsund,"10,855","60,328",18%,0.81%,8,Guldborgsund Kommune,5,0.625
Syddanmark,Haderslev,"10,966","55,376",20%,0.82%,8,Haderslev Kommune,6,0.75
Hovedstaden,Halsnæs,"5,373","31,420",17%,0.40%,4,Halsnæs Kommune,2,0.25
Midtjylland,Hedensted,"9,016","46,773",19%,0.68%,7,Hedensted Kommune,0,0
Hovedstaden,Helsingør,"11,703","63,000",19%,0.88%,9,Helsingør Kommune,5,0.625
Hovedstaden,Herlev,"5,996","28,913",21%,0.45%,4,Herlev Kommune,7,0.875
Midtjylland,Herning,"19,922","89,238",22%,1.49%,15,Herning Kommune,1,0.125
Hovedstaden,Hillerød,"10,969","51,528",21%,0.82%,8,Hillerød Kommune,6,0.75
Nordjylland,Hjørring,"12,517","64,155",20%,0.94%,9,Hjørring Kommune,0,0
Hovedstaden,Høje-Taastrup,"11,600","51,729",22%,0.87%,9,Høje-Taastrup Kommune,9,1.125
